id_str,screen_name,created_at,latitude,longitude,text,,,
44781746,zeketomaselli,Wed May 09 03:15:21 +0000 2018,19.6211,-155042,Mahalo to this crew for loving ppl to,,,
313456056,angieinpixels,Wed May 09 03:15:05 +0000 2018,21.00381102, -156.66031145,When life gives you a beautiful day.,,,
234959946,caitlin_gamba,Wed May 09 03:14:33 +0000 2018,21.013806, -156.638455,Bay watch👌🏻 @ Honolua Ba,,,
362523555,QuakesToday,Wed May 09 03:10:04 +0000 2018,19131, -155.27,"2.2 magnitude #earthquake. 23 km from Pāhala, #HI, United State",,,
362523555,QuakesToday,Wed May 09 03:10:04 +0000 2018,19131, -155.27,"2.2 magnitude #earthquake. 23 km from Pāhala, #HI, United State",,,
149759558,tmj_HI_transp,Wed May 09 03:06:12 +0000 2018,19.639994, -155.9969261,"Want to work at Enterprise Holdings? We're #hiring in #KailuaKona, HI! Click for details: hXbHkY7tJH",,,
23542616,tmj_mau_nursing,Wed May 09 03:00:23 +0000 2018,20.8911111, -156.5047222,"This #job might be a great fit for you: Travel Operating Room RN - rpkOLpHzXl #Nursing #Wailuku, HI #Hirin",,,
112545843,tmj_HI_it,Wed May 09 03:00:13 +0000 2018,19.8967662, -155.5827818,We're #hiring! Read about our latest #job opening here: JPMRC Scenario &amp, OE Officer - WvzDVnJhIl #IT H,,
23141231,tmj_mau_hr,Wed May 09 02:58:11 +0000 2018,20.8693387, -156.9061034,"Interested in a #job in #LanaiCity, HI? This could be a great fit: G7g7jJGu5q #HR #Hirin",,,
748027891,aubriwockenfuss,Wed May 09 02:52:26 +0000 2018,19.4982,-155904,"🌹Black&amp;White👼🏽Day&amp;Night🌹 @ Captain Cook, Hawai",,,
402302136,bacforsyth,Wed May 09 02:51:57 +0000 2018,20.98590154, -156.66873096,"Binocular shots, Hawaii edition @ West Mau",,,
362523555,QuakesToday,Wed May 09 02:50:05 +0000 2018,19402,-155272,"2.7 magnitude #earthquake. 6 km from #Volcano, HI, United State",,,
362523555,QuakesToday,Wed May 09 02:50:05 +0000 2018,19415,-154849,"3.2 magnitude #earthquake. 9 km from #LeilaniEstates, HI, United State",,,
153900597,jeffpayton,Wed May 09 02:33:19 +0000 2018,20.92915584, -156.36718517,You can never go wrong at Mama’s Fish House, it’s lit. #Maui,,
67487139,tmj_hi_sales,Wed May 09 02:32:59 +0000 2018,19.8967662, -155.5827818,See our latest HI #job and click to apply: General Manager Sales ACT CEE - Yziv6GpGjo #Sales #Hirin,,,
362523555,QuakesToday,Wed May 09 02:30:04 +0000 2018,19492,-155359,"2.0 magnitude #earthquake. 14 km from Volcano, HI, #UnitedState",,,
555610865,smwertheimer,Wed May 09 02:25:04 +0000 2018,20.8861,-156675,Maui has been magical! Exploring Lahaina,,,
2751117794,byroncelebrant1,Wed May 09 02:24:21 +0000 2018,20.7591,-156457,Coconut tree so full of coconuts it’s on a slight lean. A few stormy,,,
21226961,Mr2theP,Wed May 09 02:24:19 +0000 2018,20.897778, -156.222222,madreal_ @itsirez #palosanto 🅿️ @ Hana Highwa,,,
362523555,QuakesToday,Wed May 09 02:20:08 +0000 2018,19401,-155482,"2.4 magnitude #earthquake. 22 km from Pāhala, HI, #UnitedState",,,
2155614402,lanaiacademy,Wed May 09 02:17:26 +0000 2018,20.8264491, -156.9220288,Tickets are now on sale at XQV1y80w1K for LAPA’s production of,,,
18905931,jondavisphoto,Wed May 09 02:12:57 +0000 2018,20.9949, -156.66634,It’s been a stormy day but the waves have been amazing to watch and,,,
184891549,bram_laenen,Wed May 09 02:12:22 +0000 2018,19.9431, -155.79,We are reminded that our planet is an ever-changing environment,,,
16388224,auroral24,Wed May 09 02:11:10 +0000 2018,19.44571214, -155.28476932,Wine tasting #cousintime #hawaii #travel #wesafe #lavaontheotherside,,,
47498201,tmj_mau_cosmo,Wed May 09 02:10:45 +0000 2018,20.8746921, -156.4573787,"We're #hiring! Click to apply: Hair Stylist - zV32wm1Pe0 #Cosmetology #Kahului, HI #Job #Job",,,
205079960,tmj_HI_schn,Wed May 09 02:09:26 +0000 2018,19.645916, -155.9857489,"We're #hiring! Read about our latest #job opening here: Receiver/Stocker - e0ZAjT9Pky #SupplyChain #KailuaKona, H",,,
23539121,tmj_mau_sales,Wed May 09 02:09:26 +0000 2018,20.8915116, -156.4665331,"We're #hiring! Click to apply: Store Counter Sales - #job #career Zz6TATwh92 #Kahului, H",,,
