time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-19T00:06:54.260Z,19.4013329,-155.2769928,1.36,2.54,ml,22,42,0.006724,0.14,hv,hv70161881,2018-05-19T02:19:48.633Z,"5km SW of Volcano, Hawaii",earthquake,0.23,0.35,0.25,9,automatic,hv,hv
2018-05-18T23:52:10.610Z,19.4004993,-155.2873383,0.87,2.9,ml,34,33,0.01219,0.12,hv,hv70161861,2018-05-18T23:57:47.680Z,"6km WSW of Volcano, Hawaii",earthquake,0.16,0.17,0.29,16,automatic,hv,hv
2018-05-18T23:45:49.240Z,19.4173336,-155.2563324,1.69,2.45,ml,12,119,0.006199,0.26,hv,hv70161826,2018-05-18T23:51:26.880Z,"2km SW of Volcano, Hawaii",earthquake,0.59,0.44,0.13,4,automatic,hv,hv
2018-05-18T23:40:45.590Z,19.4403324,-154.8796692,0.69,2.48,ml,16,194,0.03966,0.31,hv,hv70161801,2018-05-18T23:46:18.740Z,"4km SE of Leilani Estates, Hawaii",earthquake,0.62,0.51,3.86,6,automatic,hv,hv
2018-05-18T23:12:25.170Z,19.4116669,-155.2814941,0.79,2.77,ml,35,28,0.0006513,0.21,hv,hv70161736,2018-05-18T23:18:05.050Z,"5km WSW of Volcano, Hawaii",earthquake,0.27,0.16,0.34,11,automatic,hv,hv
2018-05-18T22:12:29.320Z,19.413,-155.2878333,0.74,2.7,md,25,69,0.006594,0.09,hv,hv70171282,2018-05-19T06:15:10.336Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.11,0.097,6,reviewed,hv,hv
2018-05-18T21:47:51.110Z,19.4101667,-155.2698333,0.47,2.96,ml,28,45,0.009589,0.07,hv,hv70171242,2018-05-18T22:41:40.304Z,"4km SW of Volcano, Hawaii",earthquake,0.14,0.13,0.165,14,reviewed,hv,hv
2018-05-18T21:41:43.990Z,19.2971668,-154.9819946,37.41,2.66,md,36,258,0.1367,0.17,hv,hv70171232,2018-05-18T21:44:49.890Z,"20km SSW of Leilani Estates, Hawaii",earthquake,1.1,0.69,0.09,13,automatic,hv,hv
2018-05-18T21:34:14.430Z,19.4850006,-154.8800049,2.27,2.57,ml,8,130,0.009335,0.08,hv,hv70171207,2018-05-18T21:39:51.480Z,"4km ENE of Leilani Estates, Hawaii",earthquake,0.59,0.3,0.19,3,automatic,hv,hv
2018-05-18T21:01:21.830Z,19.4111667,-155.2793333,-0.23,2.52,ml,18,48,0.001729,0.14,hv,hv70171137,2018-05-18T21:32:56.660Z,"4km WSW of Volcano, Hawaii",earthquake,0.17,0.18,0.093,5,reviewed,hv,hv
2018-05-18T20:57:22.720Z,19.4116669,-155.280838,-0.19,2.65,ml,20,51,0.0003727,0.24,hv,hv70171132,2018-05-18T21:02:57.360Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.25,0.26,8,automatic,hv,hv
2018-05-18T20:36:46.100Z,-4.1247,133.4973,10,4.6,mb,,45,1.728,0.66,us,us1000e888,2018-05-19T16:30:10.040Z,"189km NNE of Tual, Indonesia",earthquake,6.8,1.9,0.083,44,reviewed,us,us
2018-05-18T20:33:08.770Z,19.3553333,-155.2658333,0.36,3.21,ml,37,62,0.0163,0.09,hv,hv70171082,2018-05-19T16:23:52.040Z,"8km SSW of Volcano, Hawaii",earthquake,0.17,0.23,0.189,44,reviewed,hv,hv
2018-05-18T20:31:39.000Z,1.0767,120.0629,28.2,5.1,mb,,49,0.719,0.64,us,us1000e884,2018-05-19T16:10:38.040Z,"25km WNW of Ogotua, Indonesia",earthquake,5.5,4.3,0.054,111,reviewed,us,us
2018-05-18T20:25:58.480Z,1.0458,119.9343,12.59,5.1,mww,,30,3.514,0.9,us,us1000e87x,2018-05-19T15:54:13.040Z,"37km WNW of Ogotua, Indonesia",earthquake,6.4,1.5,0.073,18,reviewed,us,us
2018-05-18T19:51:06.520Z,19.4095,-155.2698333,0.38,2.94,ml,29,43,0.009743,0.1,hv,hv70170982,2018-05-18T21:16:51.416Z,"4km SW of Volcano, Hawaii",earthquake,0.14,0.15,0.169,17,reviewed,hv,hv
